gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,PaperlessBilling,MonthlyCharges,TotalCharges,MultipleLines_No phone service,MultipleLines_Yes,InternetService_Fiber optic,InternetService_No,OnlineSecurity_No internet service,OnlineSecurity_Yes,OnlineBackup_No internet service,OnlineBackup_Yes,DeviceProtection_No internet service,DeviceProtection_Yes,TechSupport_No internet service,TechSupport_Yes,StreamingTV_No internet service,StreamingTV_Yes,StreamingMovies_No internet service,StreamingMovies_Yes,Contract_One year,Contract_Two year,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check
1,1,0,0,-1.2688249408711325,1,1,0.17901989193538198,-0.9686459194239578,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
1,0,1,0,1.6281370448459058,1,0,-1.2955605657914584,-0.24067788328436204,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,True
0,0,1,1,0.6080800076215966,0,1,-0.1451550677678129,0.22851030196784367,True,False,False,False,False,True,False,True,False,True,False,False,False,True,False,True,False,True,True,False,False
1,1,0,0,-0.0039542147129889285,1,1,0.5563927937437163,0.16224065897405537,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
0,0,0,0,-0.452779311091685,1,1,0.8539687823943415,-0.1732549533308425,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,True,False
0,0,0,0,0.11845262975392819,0,1,-1.0279084195749741,-0.4780110324398267,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True
0,0,0,0,-0.24876790364682316,1,1,-0.27648748733987655,-0.3106291731111386,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,True
1,0,1,0,1.5873347633569335,1,0,0.6594638065724248,1.6427062577429157,False,True,False,False,False,False,False,True,False,True,False,True,False,True,False,True,False,True,True,False,False
1,0,0,0,0.8936959780444033,0,0,-0.6372360322403547,0.09184579723969,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,True,True,False,False
1,0,1,0,1.6281370448459058,0,1,0.011113887166034987,1.105629392034222,True,False,False,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False
0,1,0,0,-0.8608021259814087,1,1,0.6794130348618519,-0.5973318755812527,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False
0,0,0,1,1.2609165114451546,1,0,-1.4917279773041607,-0.46060083506696065,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,True,False,False
1,0,1,0,1.5873347633569335,1,0,0.8705931393021976,1.8410494362213121,False,True,False,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False
0,0,1,0,1.1793119484672099,1,0,-1.3288092796071707,-0.3706444522079227,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,True
0,0,1,1,1.5057302003789887,0,0,-0.602324882733857,0.3849802923698437,True,False,False,False,False,True,False,True,False,True,False,True,False,False,False,False,False,True,False,False,False
0,0,1,1,0.7712891335774861,1,1,0.5447557439082172,0.8265561263746375,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False
0,0,1,0,-0.3303724666247679,1,1,1.1615193851896801,0.07889349753809272,False,False,True,False,False,False,False,True,False,True,False,False,False,True,False,True,False,False,True,False,False
0,0,0,0,-1.2688249408711325,1,1,0.34360102532315795,-0.9664502384813926,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False
0,0,1,0,-1.1056158149152429,1,1,0.8157327615062726,-0.7981368781467676,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True
0,0,0,0,-0.3711747481137403,1,1,0.31201474719823113,-0.22040664710754737,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,True,True,False,False,False,True
0,0,1,0,1.301718792934127,1,1,0.5630425365068589,1.2756283256176848,False,True,False,False,False,True,False,True,False,True,False,True,False,False,False,True,False,True,False,False,True
1,0,0,0,-0.5751861555586021,1,0,-1.473441184705519,-0.8405645311076502,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,True
0,0,1,1,-0.7383952815144916,1,0,-1.2905732587191014,-0.8343767029967843,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,True
0,0,0,0,-1.2280226593821602,1,0,-1.4950528486857322,-0.9725049950199816,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,True
1,0,1,1,1.1385096669782375,1,1,0.049349908054103844,0.7428984646033628,False,False,False,False,False,True,False,True,False,True,False,True,False,False,False,False,True,False,False,False,False
0,1,1,0,1.5873347633569335,1,1,1.5073060088730883,2.5065181905816254,False,False,True,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False
0,0,1,1,-0.6975930000255193,1,0,0.40344871019143996,-0.4869933635685028,False,False,False,False,False,False,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False
0,0,1,1,1.301718792934127,1,1,1.331087825649813,1.981927874071561,False,True,True,False,False,True,False,False,False,False,False,True,False,True,False,True,True,False,False,False,False
1,1,0,0,-1.2688249408711325,1,1,0.40178627450065446,-0.965673987643112,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
0,0,0,0,0.11845262975392819,1,1,1.1598569494988946,0.5671109176258642,False,False,True,False,False,False,False,False,False,True,False,True,False,True,False,True,True,False,False,True,False
1,0,1,1,-0.5343838740696297,1,0,-1.4817533631594473,-0.8467745378138954,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,True
0,0,1,0,1.5873347633569335,1,1,0.5347811297635037,1.5120299737672125,False,True,False,False,False,False,False,False,False,True,False,True,False,True,False,True,False,True,False,False,False
1,0,0,0,0.7712891335774861,1,1,1.011900173018975,1.1462384001739898,False,True,True,False,False,True,False,True,False,False,False,False,False,True,False,False,True,False,False,True,False
1,1,1,1,0.36326631868776244,1,1,1.582115614958441,1.011969183746816,False,True,True,False,False,False,False,True,False,True,False,True,False,True,False,True,True,False,False,True,False
1,1,0,0,-0.452779311091685,1,1,-0.14349263207702737,-0.4512636464122133,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False
1,0,1,0,-0.6159884370475746,1,1,1.073410293578043,-0.29508197775014605,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True,True,False,False,False,False
0,0,0,0,-1.2688249408711325,1,0,0.9986006874926903,-0.9577118719018903,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,True,False
0,0,1,0,-0.3303724666247679,1,1,0.36687512499415664,-0.22428790129895063,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
1,1,0,0,1.6281370448459058,1,1,-1.3055351799361719,-0.20563570258483543,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,True,False,False
1,0,1,0,0.8120914150664585,1,1,0.5663674078884304,0.9319266330223912,False,True,False,False,False,True,False,True,False,True,False,True,False,False,False,True,True,False,True,False,False
0,0,1,0,-1.1872203778931878,1,1,0.32365179703373026,-0.8984506650480074,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
0,0,0,0,1.4649279188900164,1,1,0.7907962261444884,1.727694635236957,False,True,False,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False
0,0,0,0,-1.0648135334262705,1,0,0.6494891924277112,-0.7788858573574075,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False
1,1,0,0,0.5264754446436519,1,0,-0.055383540465389604,0.238645920056251,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,True,False,True,False,False
0,0,1,0,1.5057302003789887,1,1,1.0401615797623307,1.9919525991830704,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,True,True,False,True,False,False
1,0,0,0,-1.2688249408711325,0,1,-0.9614109919435496,-0.9838604358542586,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False
0,0,0,0,-1.2688249408711325,1,1,0.3369512825600154,-0.9665389528629104,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
1,0,0,0,1.5057302003789887,1,1,-1.5050274628304456,-0.4367588450340549,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,True
0,0,1,1,1.0569051040002928,1,0,-1.3038727442453864,-0.3298358367097398,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,True,False,False
1,0,1,1,1.6281370448459058,1,0,-1.47676605608709,-0.4128059620242519,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,False
0,0,1,0,-0.2895701851357955,1,1,-1.2490123664494612,-0.6742028871664166,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,True
0,0,1,1,0.03684806677598344,1,1,-1.3254844082255994,-0.6712087767901913,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,True
0,0,1,1,1.0977073854892652,1,0,0.037712858218604726,0.6865648323395669,False,True,False,False,False,True,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True
0,0,0,0,-0.5751861555586021,1,1,-0.12520583947838546,-0.4866606846378111,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True
1,0,1,0,-0.9424066889593534,1,1,0.7874713547629169,-0.6441508904272657,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False
1,0,0,0,-1.2688249408711325,1,0,-1.4667914419423767,-0.9906027288496105,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,True
0,1,0,0,-1.1872203778931878,1,1,0.3552380751586571,-0.8859197586586197,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
0,0,1,0,1.6281370448459058,1,1,0.8838926248284827,1.869704181451558,False,True,False,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False
1,1,0,1,-1.0240112519372981,1,1,-0.6189492396417131,-0.846907609386172,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
0,0,0,0,-0.8608021259814087,1,0,0.3618878179217996,-0.6054048842993713,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
0,0,0,0,-1.2688249408711325,1,0,-1.478428491777876,-0.9907579790172666,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,False
0,0,1,0,0.4040686001767348,1,1,1.1515447710449667,0.8345847779019975,False,False,True,False,False,False,False,False,False,True,False,True,False,True,False,True,False,True,True,False,False
0,1,1,0,0.8528936965554309,1,0,-1.3055351799361719,-0.4337647346578295,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,True,False,False
1,0,1,1,1.424125637401044,1,0,1.2895269333801729,2.059065028801278,False,False,True,False,False,False,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False
0,0,0,0,1.1793119484672099,1,1,1.3161259044327425,1.849477302465502,False,True,True,False,False,False,False,True,False,True,False,False,False,True,False,True,True,False,False,True,False
0,1,0,0,0.36326631868776244,1,1,1.6236765072280812,1.080545400660067,False,True,True,False,False,True,False,True,False,True,False,False,False,True,False,True,False,False,False,True,False
0,0,0,0,-1.0648135334262705,1,1,0.16239553502752582,-0.8139945738430724,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
1,0,0,0,-0.5751861555586021,1,0,-1.4717787490147334,-0.8213356889136695,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,True
1,0,1,0,-1.2280226593821602,1,1,-0.0055104697418211605,-0.9358659554531348,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True
1,0,1,0,0.6896845705995414,1,1,1.011900173018975,1.081055508353794,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,True,False,True,False
0,1,0,0,-1.1464180964042154,1,0,0.2787660333825189,-0.8586400863418997,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False
1,0,0,0,-1.2688249408711325,1,0,-1.4834157988502328,-0.990824514803405,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,True
1,0,0,0,-1.2280226593821602,0,1,-0.5025787412867201,-0.9595083381276256,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,True,False
1,1,0,0,-1.2688249408711325,1,0,-0.6006624470430715,-0.9790476806569185,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
1,0,1,0,-0.9832089704483259,1,0,0.3535756394678715,-0.7188262210698644,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
1,0,1,1,0.03684806677598344,1,0,0.34526346101394345,0.08862990090967016,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,True,True,False,True,False,False
1,0,1,0,-1.1872203778931878,1,1,-0.2847996657938046,-0.9310310216604153,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True
0,0,0,0,0.8528936965554309,1,1,1.1947680990053924,1.3073437170102942,False,False,True,False,False,False,False,True,False,True,False,False,False,True,False,True,True,False,False,False,True
1,0,1,1,-0.6159884370475746,0,0,-0.6621725676021389,-0.6482095733817045,True,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,True,False,True,False,False
1,0,1,0,0.03684806677598344,1,1,-0.11024391826131508,-0.1042795217007617,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,True,False,False,True
0,0,0,0,0.28166175570981766,0,1,-0.45270567056315164,-0.10738452505388431,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,True,False
1,1,1,0,-0.49358159258065737,1,1,1.0035879945650468,-0.15695368572694882,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False
1,0,0,0,0.7304868520885137,1,0,-1.4701163133239479,-0.5608702647774414,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False
0,1,0,0,-1.1464180964042154,1,0,-1.473441184705519,-0.9590204090292778,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,True
1,0,1,0,1.2609165114451546,1,0,1.1748188707159652,1.8084025438227653,False,False,True,False,False,True,False,False,False,True,False,False,False,True,False,True,False,True,True,False,False
1,1,0,0,-0.3303724666247679,1,1,1.2828771906170302,0.10788092169903017,False,True,True,False,False,False,False,True,False,True,False,False,False,True,False,True,False,False,True,False,False
0,0,1,1,1.5057302003789887,1,0,-1.4950528486857322,-0.40244855798205,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,True
0,0,0,1,-0.452779311091685,1,0,-1.4501670850345205,-0.7990018433665661,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,True
1,0,0,0,-0.0447564962019613,1,1,0.5580552294345024,0.17168874060569994,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False
0,0,0,0,1.4649279188900164,1,0,-1.473441184705519,-0.38439518134317996,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,False
1,0,0,0,-0.8199998444924363,1,0,-1.460141699179234,-0.8863189733754498,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,True
1,0,0,0,0.44487088166570715,1,0,-1.2606494162849602,-0.5071980639591792,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,False
0,0,0,0,0.7304868520885137,1,0,-1.4950528486857322,-0.5453896052025873,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,True,False,False
1,0,0,0,0.28166175570981766,1,0,0.3618878179217996,0.3389597069574908,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
0,0,1,0,0.7304868520885137,1,1,-1.4800909274686616,-0.5812523939311535,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False
1,0,0,0,-0.9832089704483259,0,1,-1.3005478728638151,-0.9169476135944663,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
0,1,1,1,0.07765034826495582,1,1,0.5065197230201479,0.20617645642074037,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True
0,0,0,0,-0.3711747481137403,1,1,0.49155780180307773,-0.2557371495470067,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False
0,0,0,0,-1.0240112519372981,1,0,-1.478428491777876,-0.9227805841792609,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,True
1,0,0,0,-0.9016044074703811,0,0,-1.159240839147038,-0.8863633305662086,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True
0,0,1,1,0.8936959780444033,1,0,0.8955296746639818,1.2027494612008212,False,True,False,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,True,False,False
1,0,1,0,0.7712891335774861,1,1,0.6478267567369251,0.9109235031980549,False,False,False,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,True,False,False
1,0,0,0,-0.5343838740696297,1,1,0.4765958805860071,-0.33640070094205626,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
1,0,0,0,-1.2688249408711325,0,1,-0.6339111608587837,-0.9794912525645074,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True
1,0,0,1,-0.8199998444924363,1,1,0.182344763316953,-0.628093587372546,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True
0,0,0,0,-0.9832089704483259,1,0,-0.20500275263609494,-0.7914389423421746,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False
0,1,0,0,-0.9424066889593534,1,0,0.3701999963757277,-0.7168523260810936,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
1,0,0,0,-1.2280226593821602,1,0,-1.4950528486857322,-0.9771403214542861,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,True
1,0,0,0,-1.1872203778931878,1,1,-1.4933904129949465,-0.9688677053777522,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,True
1,0,0,0,-1.0648135334262705,1,1,0.1574082279551688,-0.806631280177096,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
1,0,0,1,-0.9424066889593534,1,1,-0.47431733454336455,-0.7848740781098582,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False
1,0,1,1,1.6281370448459058,1,1,1.6519379139714365,2.67727119640799,False,True,True,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,True,False,False
0,0,0,0,-1.1056158149152429,1,1,0.6528140638092822,-0.8111778922298826,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False
1,0,0,0,0.11845262975392819,1,1,-1.2889108230283157,-0.5998158782637507,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,True,False
1,0,0,0,1.424125637401044,0,0,-0.6804593602007809,0.37424585220619117,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,True,False,True,False
1,0,0,0,0.11845262975392819,1,0,-0.10525661118895804,-0.10303752035951268,False,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,True,False,False,False,True
1,0,1,1,-0.3711747481137403,1,1,1.1798061777883218,0.034514128183818965,False,False,True,False,False,True,False,False,False,False,False,True,False,True,False,True,False,False,False,True,False
0,0,1,0,0.07765034826495582,1,1,1.1997554060777496,0.5150577542703016,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,True,False
0,0,0,1,-0.5343838740696297,1,1,-0.12520583947838546,-0.4239174383093549,False,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False
1,0,0,0,-0.3711747481137403,1,0,-1.4468422136529493,-0.789376332971886,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,True,False
0,0,0,0,0.28166175570981766,1,0,-0.1684291674388116,-0.019668180328170602,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False,True,False
1,0,0,0,-0.24876790364682316,0,1,-0.6555228248389967,-0.4865719702562933,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False
0,0,0,0,-0.0447564962019613,1,0,0.029400679764676654,-0.11496960467365532,False,True,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False
1,0,0,0,0.8120914150664585,1,1,0.511507030092505,0.8713125318503622,False,True,False,False,False,True,False,False,False,False,False,True,False,True,False,True,False,True,True,False,False
0,0,1,1,-1.1464180964042154,1,0,0.5480806152897882,-0.8652936649557338,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False
0,0,0,0,-0.9016044074703811,1,1,1.1349204141371105,-0.5301750887722865,False,True,True,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,True,False
0,0,0,0,-1.1464180964042154,1,1,0.4865704947307207,-0.8651162361926982,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False
1,0,1,1,-0.0039542147129889285,1,1,0.17901989193538198,0.0418774218497954,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0,0,1,1,-0.08555877769093367,0,0,-0.437743749346081,-0.30694752627815036,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,True,False,False
1,0,0,0,-0.8199998444924363,1,1,1.0534610652886152,-0.4903201528754199,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False
0,0,0,0,-0.8199998444924363,1,0,1.0351742726899735,-0.5049358472304756,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True,True,False,False,False,True
